event_count,scenario,replicate,test_events,clock_bits_per_event,clock_mdl_net_bits,direction_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,clock_mdl_accept,direction_mdl_accept,joint_mdl_accept
800,censored_execution_noise,66,176,0.3771920142207905,-21.825526576332237,61.745071050533184,5,contrarian,0.8409090909090909,False,True,False
800,censored_execution_noise,67,210,0.3731232552207535,-9.087542274009195,65.22925373212749,5,contrarian,0.8229665071770335,False,True,False
800,censored_execution_noise,68,211,0.5411570794380701,26.76396743504344,97.22801479324589,5,contrarian,0.8815165876777251,True,True,True
800,censored_execution_noise,69,201,0.32684129451791244,-21.95581563339306,65.45904425115607,5,contrarian,0.83,False,True,False
800,censored_execution_noise,70,216,0.37052842873824143,-7.269192701900025,92.01373915486698,5,contrarian,0.8697674418604651,False,True,False
800,censored_execution_noise,71,228,0.41084978910728764,6.6549742170668935,96.92040541445718,5,contrarian,0.868421052631579,True,True,True
800,censored_execution_noise,72,218,0.3763028012749424,-5.222305079691239,86.38516681961124,5,contrarian,0.8577981651376146,False,True,False
800,censored_execution_noise,73,202,0.43560864378926034,0.3649301405485943,89.09497969756777,5,contrarian,0.8756218905472637,True,True,True
800,censored_execution_noise,74,213,0.39656353436790925,-2.9055257641808225,114.28962098238318,5,contrarian,0.9061032863849765,False,True,False
800,censored_execution_noise,75,189,0.4770338727199158,2.236630530786144,71.61973701628354,5,contrarian,0.8518518518518519,True,True,True
800,censored_execution_noise,76,201,0.3475929592166693,-17.784731028942943,107.26785734462621,5,contrarian,0.9054726368159204,False,True,False
800,censored_execution_noise,77,192,0.3561628600161119,-19.472042254620575,71.41133785990327,5,contrarian,0.8489583333333334,False,True,False
800,censored_execution_noise,78,184,0.37095187211528374,-19.779327667389353,77.41441950154046,5,contrarian,0.8688524590163934,False,True,False
800,censored_execution_noise,79,196,0.38476714034238707,-12.35048551648039,85.06605534327586,5,contrarian,0.8724489795918368,False,True,False
800,censored_execution_noise,80,182,0.334725355954224,-27.158883981422804,85.09765873864455,5,contrarian,0.8846153846153846,False,True,False
800,censored_execution_noise,81,202,0.4519663092569985,3.6691785650317,87.11267803597018,5,contrarian,0.8712871287128713,True,True,True
800,censored_execution_noise,82,178,0.4428006242427888,-9.348811201024319,68.21586400307459,5,contrarian,0.8539325842696629,False,True,False
800,censored_execution_noise,83,201,0.5172069713392353,16.30768540769283,80.93523127180161,5,contrarian,0.8606965174129353,True,True,True
800,censored_execution_noise,84,232,0.403286027525867,6.639760750706685,124.04746345030954,5,contrarian,0.9051724137931034,True,True,True
800,censored_execution_noise,85,156,0.4231500252987899,-22.63230639547764,64.08602533770541,5,contrarian,0.8653846153846154,False,True,False
800,censored_execution_noise,86,197,0.5275630840265385,16.18779273017728,83.12000428425084,5,contrarian,0.868020304568528,True,True,True
800,censored_execution_noise,87,189,0.43921349914296354,-4.911420075257837,87.92229427540454,5,contrarian,0.8835978835978836,False,True,False
800,censored_execution_noise,88,194,0.4282125525912052,-4.736917640299225,75.47939203689964,5,contrarian,0.8556701030927835,False,True,False
800,censored_execution_noise,89,171,0.3346882255170646,-31.08901740193518,55.69275978287588,5,contrarian,0.8304093567251462,False,True,False
800,censored_execution_noise,90,170,0.390657725909864,-21.93066277000227,51.990902245133924,5,contrarian,0.8224852071005917,False,True,False
800,censored_execution_noise,91,193,0.3990250466370196,-10.82091670848419,81.86222144907282,5,contrarian,0.8697916666666666,False,True,False
800,censored_execution_noise,92,211,0.4474090015433827,6.983122999264381,91.56543365568797,5,contrarian,0.8720379146919431,True,True,True
800,censored_execution_noise,93,190,0.4144554473254729,-9.153786616437515,83.0230800380172,5,contrarian,0.8736842105263158,False,True,False
800,censored_execution_noise,94,214,0.3556473529361218,-11.241656588681295,90.4183589050271,5,contrarian,0.8685446009389671,False,True,False
800,censored_execution_noise,95,214,0.43820151276139313,6.424933613926768,85.86818269290046,5,contrarian,0.8598130841121495,True,True,True
800,censored_execution_noise,96,197,0.36155314129555294,-16.51616598782688,83.12000428425084,5,contrarian,0.868020304568528,False,True,False
800,censored_execution_noise,97,193,0.28995173532897495,-31.872065790936816,88.2941759399811,5,contrarian,0.8808290155440415,False,True,False
800,censored_execution_noise,98,213,0.40329230033467395,-1.4722986132599374,87.72369966508641,5,contrarian,0.863849765258216,False,True,False
800,censored_execution_noise,99,201,0.441898040603847,1.1705903298797864,83.59274090912768,5,contrarian,0.8656716417910447,True,True,True
1600,continuous_low_noise,0,401,0.5120208575724071,108.15801242410011,210.24995949334016,5,contrarian,0.9002493765586035,True,True,True
1600,continuous_low_noise,1,354,0.3688488623059126,32.88315790256503,199.37880545874975,5,contrarian,0.9124293785310734,True,True,True
1600,continuous_low_noise,2,402,0.4132591336268769,68.97925588651104,256.18922722320065,5,contrarian,0.9328358208955224,True,True,True
1600,continuous_low_noise,3,405,0.39251920535702606,61.85372659234851,225.87066084917896,5,contrarian,0.9108910891089109,True,True,True
1600,continuous_low_noise,4,406,0.4171853646031249,72.27218037685306,215.14961607118218,5,contrarian,0.9032258064516129,True,True,True
1600,continuous_low_noise,5,418,0.444806115559198,88.96232026205821,200.01322321584198,5,contrarian,0.8851674641148325,True,True,True
