ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
82199073,[],3223.0,INCLUDED,215.0,6.315,0.465
82241706,[],633.0,INCLUDED,43.0,2.345,2.345
82462486,[],344.0,INCLUDED,23.0,2.321,0.155
82465593,['2026-01-12T12:00:00+00:00'],875.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
82494965,[],472.0,INCLUDED,32.0,5.038,0.033
82523311,[],521.0,INCLUDED,35.0,2.863,0.335
82564751,[],936.0,INCLUDED,63.0,4.942,0.108
82596177,[],4157.0,INCLUDED,278.0,5.725,0.791
82600157,[],222.0,INCLUDED,15.0,1.309,0.123
82667342,[],5508.0,INCLUDED,368.0,5.216,0.337
82775023,['2026-01-22T07:00:00+00:00'],390.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
82824133,[],454.0,INCLUDED,31.0,3.173,0.91
82913535,[],1481.0,INCLUDED,99.0,2.627,0.005
83084849,[],219.0,INCLUDED,15.0,0.679,0.144
83314376,[],100.0,INCLUDED,7.0,0.638,0.638
83511633,[],214.0,INCLUDED,15.0,0.196,0.077
83541051,[],573.0,INCLUDED,39.0,1.285,0.037
83699779,[],658.0,INCLUDED,44.0,0.286,0.022
83821484,[],185.0,INCLUDED,13.0,0.264,0.021
83897665,[],94.0,INCLUDED,7.0,0.379,0.073
83915642,[],275.0,INCLUDED,19.0,2.165,0.289
83923769,[],102.0,INCLUDED,7.0,0.262,0.07
83980760,[],665.0,INCLUDED,45.0,4.809,0.101
84397864,[],196.0,INCLUDED,14.0,0.596,0.089
84448544,[],211.0,INCLUDED,15.0,1.968,0.079
84480811,[],582.0,INCLUDED,39.0,4.157,0.096
84496990,[],280.0,INCLUDED,19.0,3.901,3.901
84665776,[],168.0,INCLUDED,12.0,0.685,0.269
84675020,[],457.0,INCLUDED,31.0,2.36,0.855
84803733,[],5945.0,EXCLUDED_STALE_QUOTES,,10.017,
84858142,[],337.0,INCLUDED,23.0,5.661,0.172
84960053,['2026-02-19T20:00:00+00:00'],398.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
84971230,[],270.0,INCLUDED,18.0,5.347,0.54
85066329,[],119.0,INCLUDED,8.0,2.201,0.088
85084978,[],706.0,INCLUDED,48.0,4.753,1.13
85182793,[],217.0,INCLUDED,15.0,2.686,1.482
85342738,[],34.0,INCLUDED,3.0,0.1,0.046
85385479,[],161.0,INCLUDED,11.0,1.121,0.273
85396743,[],220.0,INCLUDED,15.0,0.515,0.107
85640223,[],159.0,INCLUDED,11.0,1.607,0.108
85668110,[],821.0,EXCLUDED_STALE_QUOTES,,11.138,
85668988,[],103.0,INCLUDED,7.0,3.171,0.17
85704475,[],35.0,INCLUDED,3.0,0.095,0.095
85787460,[],527.0,INCLUDED,36.0,3.649,1.762
85827276,[],160.0,INCLUDED,11.0,1.465,0.169
85833216,[],174.0,EXCLUDED_STALE_QUOTES,,11.939,
85865765,[],100.0,INCLUDED,7.0,0.367,0.078
85935017,[],330.0,INCLUDED,22.0,7.746,0.401
85942844,[],50.0,INCLUDED,4.0,1.368,1.16
85948772,[],395.0,INCLUDED,27.0,6.378,1.824
86000608,[],426.0,INCLUDED,29.0,0.536,0.016
86011644,[],92.0,INCLUDED,7.0,0.374,0.1
86014472,[],10.0,INCLUDED,1.0,0.06,0.06
86155613,[],73.0,INCLUDED,5.0,1.031,0.252
86161488,[],87.0,INCLUDED,6.0,0.873,0.248
