scenario,replicate,planted_events,observed_events,test_events,clock_test_bits,clock_test_bits_per_event,clock_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,direction_test_n,direction_mdl_net_bits,clock_family_recovered,clock_mdl_recovered,contrarian_family_recovered,exact_horizon_recovered
continuous_low_noise,44,420,420,114,49.38406365072212,0.4331935407958081,-29.061120854858068,5,contrarian,0.9035087719298246,114,58.81384049010123,True,False,True,True
continuous_low_noise,45,420,420,106,44.97256813983412,0.42426951075315206,-33.82632897463633,5,contrarian,0.8679245283018868,106,43.31110068235254,True,False,True,True
continuous_low_noise,46,420,420,107,32.78316282561542,0.306384699304817,-45.972016220244456,5,contrarian,0.9065420560747663,107,56.07385909610229,True,False,True,True
continuous_low_noise,47,420,420,104,40.40602398836728,0.3885194614266085,-38.47989311931519,5,contrarian,0.8653846153846154,104,41.7240168918036,True,False,True,True
continuous_low_noise,48,420,420,99,33.91182235580619,0.3425436601596585,-45.18925777185569,5,contrarian,0.8888888888888888,99,46.17742485721106,True,False,True,True
continuous_low_noise,49,420,420,101,31.59576145655304,0.3128293213520103,-47.41965837421323,5,contrarian,0.8910891089108911,101,47.84116671674973,True,False,True,True
continuous_low_noise,50,420,420,96,43.90540580682264,0.4573479771544025,-35.32316922058129,5,contrarian,0.8229166666666666,96,28.329147338015904,True,False,True,True
continuous_low_noise,51,420,420,99,37.30430401019638,0.37681115161814527,-41.79677611746549,5,contrarian,0.9090909090909091,99,52.48979829477018,True,False,True,True
continuous_low_noise,52,420,420,120,44.605895379292974,0.37171579482744144,-33.5678821804179,5,contrarian,0.9,120,60.72052876928627,True,False,True,True
continuous_low_noise,53,420,420,107,48.74807752845421,0.45558950961172157,-30.007101517405665,5,contrarian,0.8317757009345794,107,34.0619578370483,True,False,True,True
continuous_low_noise,54,420,420,124,44.07259558301231,0.35542415792751864,-33.917211390462704,5,contrarian,0.9032258064516129,124,64.12295879113297,True,False,True,True
continuous_low_noise,55,420,420,99,32.12883257998527,0.32453366242409365,-46.9722475476766,5,contrarian,0.8484848484848485,99,35.25171705966229,True,False,True,True
continuous_low_noise,56,420,420,113,40.460625774005074,0.3580586351681865,-38.029275257011626,5,contrarian,0.9557522123893806,113,80.45726795517523,True,False,True,True
continuous_low_noise,57,420,420,119,27.527509874365332,0.23132361238962465,-50.69187705485183,5,contrarian,0.9152542372881356,118,65.59525135783096,True,False,True,True
continuous_low_noise,58,420,420,102,51.989824980610166,0.5097041664765702,-26.9825630945912,5,contrarian,0.9509803921568627,102,70.21380128549562,True,False,True,True
continuous_low_noise,59,420,420,104,52.58415897431602,0.5056169132145771,-26.301758133366455,5,contrarian,0.8653846153846154,104,41.7240168918036,True,False,True,True
continuous_low_noise,60,420,420,98,39.36170252602962,0.40165002577581244,-39.78200781605925,5,contrarian,0.9175257731958762,97,54.148729663858006,True,False,True,True
continuous_low_noise,61,420,420,98,21.93056901918224,0.22378131652226776,-57.21314132290662,5,contrarian,0.9175257731958762,97,54.148729663858006,True,False,True,True
