feature,percentile,threshold,direction,precision,recall,lift,TP,FP,FN
macd,10,-1.989663607233524,above,0.0010188838665676288,0.8764845605679894,0.9738705342142603,369,361792,52
return_5,60,0.00015080333178096872,below,0.0010188951200722296,0.5843230403786596,0.9738691896805666,246,241192,175
distance_ema_50,50,4.040995810369461e-05,above,0.0010188816158965362,0.4869358669822163,0.9738683829757028,205,200996,216
distance_ema_100,50,6.626351218902966e-05,above,0.0010188816158965362,0.4869358669822163,0.9738683829757028,205,200996,216
macd_hist,60,0.09005471603042518,above,0.0010188803498984162,0.38954869358577304,0.9738671729081909,164,160797,257
macd_signal,60,0.3298691597975659,above,0.0010188803498984162,0.38954869358577304,0.9738671729081909,164,160797,257
stochastic_k_14,70,73.82325543783608,above,0.0010189120007952398,0.2921615201893298,0.9738659627173825,123,120594,298
atr_ratio,80,0.0006903140733505681,above,0.0010189120007952357,0.19477434679288652,0.9738659627173785,82,80396,339
bollinger_bandwidth_20,80,0.003298423348710611,above,0.0010189246617045738,0.19477434679288652,0.9738635424248216,82,80395,339
return_60,80,0.0020023266867601475,above,0.0010190259603076834,0.19477434679288652,0.9738611213109175,82,80387,339
ema_20_50_diff,90,3.3344826293205188,above,0.0010188613603041422,0.09738717339644326,0.973849022256358,41,40200,380
return_30,90,0.0023214407262381886,above,0.0010189373229285497,0.09738717339644326,0.9738490207018508,41,40197,380
candle_body,50,0.0029999999997016857,above,0.0010187955351906837,0.4869358669822163,0.9737861052345933,205,201013,216
distance_ema_9,10,-0.0005389970695619658,above,0.0010161226636772015,0.874109263655881,0.9712313186743841,368,361793,53
distance_ema_50,10,-0.0013652659075352512,above,0.0010161226636772015,0.874109263655881,0.9712313186743841,368,361793,53
rsi_7,80,64.71841662292744,below,0.0010157960952425298,0.7767220902594377,0.970902288037452,327,321588,94
return_60,20,-0.0017830272670649183,above,0.0010159286426634077,0.7767220902594377,0.9709010816734585,327,321546,94
ema_20_50_diff,20,-1.7265853505750783,above,0.001015777162720043,0.7767220902594377,0.9709010816250401,327,321594,94
distance_ema_200,20,-0.0015756809791706082,above,0.001015777162720043,0.7767220902594377,0.9709010816250401,327,321594,94
distance_ema_100,20,-0.0010898477906049516,above,0.001015777162720043,0.7767220902594377,0.9709010816250401,327,321594,94
macd_signal,20,-1.036882078936301,above,0.001015777162720043,0.7767220902594377,0.9709010816250401,327,321594,94
rsi_14,30,44.471808569544876,above,0.0010153689943231607,0.6793349168629945,0.9704771805494357,286,281385,135
distance_ema_50,30,-0.00043105828847577306,above,0.0010153329475541446,0.6793349168629945,0.9704764914679922,286,281395,135
ema_9_20_diff,30,-0.5464957246349513,above,0.0010153329475541446,0.6793349168629945,0.9704764914679922,286,281395,135
distance_ema_200,30,-0.000872707353957242,above,0.0010153329475541446,0.6793349168629945,0.9704764914679922,286,281395,135
return_10,70,0.0004589418778968568,below,0.0010153581800237117,0.6793349168629945,0.9704764914653576,286,281388,135
distance_ema_200,60,0.0006017579538666914,below,0.001014740661279563,0.5819477434665512,0.9699103718447837,245,241196,176
rsi_21,50,50.41448725168708,above,0.0010139668969630648,0.48456057007010794,0.9691202138845758,204,200986,217
bollinger_z_20,90,1.6822879549055945,below,0.0010134118290288615,0.8717339667437726,0.9685945103166156,367,361776,54
return_15,10,-0.001586850900241965,above,0.001013400635653475,0.8717339667437726,0.9685934404504017,367,361780,54
return_10,10,-0.001299797027244587,above,0.0010133866442819561,0.8717339667437726,0.9685921031508686,367,361785,54
macd,20,-1.0939470881785383,above,0.0010126708105404711,0.7743467933473294,0.9679319651674713,326,321595,95
return_15,60,0.000269969946945503,above,0.0010127054145568574,0.3871733966736647,0.9679289583392253,163,160792,258
rsi_7,30,41.60746560128618,above,0.001011800792399775,0.676959619950886,0.9670835603522397,285,281391,136
ema_9_20_diff,40,-0.22625061489998188,above,0.0010105988626620955,0.5795724465544428,0.9659515540005194,244,241197,177
distance_ema_200,40,-0.00034334937640566505,above,0.0010105988626620955,0.5795724465544428,0.9659515540005194,244,241197,177
bollinger_z_20,70,0.8666820735465436,above,0.0010106449074265748,0.2897862232772214,0.9659499535849071,122,120593,299
return_15,20,-0.0008997203481158067,above,0.001009602092516826,0.771971496435221,0.9649628487219354,325,321584,96
ema_9_20_diff,80,1.079134678245282,below,0.001009564458360899,0.771971496435221,0.9649628487099023,325,321596,96
ema_9_20_diff,20,-0.9864527400745828,above,0.001009564458360899,0.771971496435221,0.9649628487099023,325,321596,96
return_1,50,0.0,above,0.001009519025740268,0.4869358669822163,0.9649170253569426,205,202862,216
bollinger_z_20,30,-0.8041599701059615,above,0.0010082828304345166,0.6745843230387777,0.9636923375378896,284,281383,137
bollinger_z_20,40,-0.387661976780594,above,0.0010065070890406661,0.5771971496423345,0.9619951268713497,243,241186,178
distance_ema_50,20,-0.0007678083591747511,above,0.0010064581061813272,0.7695961995231126,0.9619937322523335,324,321597,97
distance_ema_50,80,0.0008563021123241849,below,0.0010064581061813272,0.7695961995231126,0.9619937322523335,324,321597,97
return_3,60,0.00011536928554014556,below,0.0010064654011986422,0.5771971496423345,0.961993533033866,243,241196,178
rsi_14,60,53.325216584792834,above,0.0010064924979031344,0.3847980997615563,0.9619931345848387,162,160793,259
stochastic_d_14,40,41.44194756554203,above,0.001006494582325454,0.5771971496423345,0.961992736131119,243,241189,178
stochastic_k_14,80,83.45188503711918,above,0.0010064862446879767,0.19239904988077816,0.9619895485378983,81,80397,340
macd_hist,10,-0.6307971258800493,above,0.0010050778521154928,0.8646080760074475,0.9606744565148799,364,361797,57
return_5,50,6.251309869864663e-06,above,0.0010039861231224913,0.4798099762458912,0.9596190352806098,202,200996,219
macd_hist,50,-0.003330882130024415,above,0.0010039711532248796,0.4798099762458912,0.9596166505419121,202,200999,219
return_5,80,0.0005506322910597827,below,0.001003364221212297,0.7672209026110043,0.9590246157987511,323,321594,98
return_3,10,-0.0007227738668492133,above,0.0010023249520927304,0.8622327790953391,0.9580360345853357,363,361795,58
return_30,60,0.00039640554134856565,below,0.0010023899959821516,0.5748218527302261,0.9580339182619206,242,241181,179
atr_14,70,2.566332125134487,below,0.001001168029367592,0.669833729214561,0.9569064511959469,282,281389,139
bollinger_z_20,20,-1.2155096644109802,above,0.0010002951181249096,0.7648456056988959,0.9560578753464547,322,321583,99
distance_ema_20,20,-0.0004749966672074541,above,0.001000245401822183,0.7648456056988959,0.9560554993371955,322,321599,99
macd,80,1.2046207612670514,below,0.001000245401822183,0.7648456056988959,0.9560554993371955,322,321599,99
bollinger_z_20,60,0.4735608808204614,above,0.0010002920107111952,0.38242280284944796,0.9560549053555992,161,160792,260
rsi_7,60,54.84590146378604,above,0.0010002609376358988,0.38242280284944796,0.9560537174080294,161,160797,260
ema_9_20_diff,70,0.6304234509993876,below,0.0009975823715479533,0.6674584323024526,0.9535101192395309,281,281400,140
ema_20_50_diff,30,-0.9599973766107723,above,0.0009975823715479533,0.6674584323024526,0.9535101192395309,281,281400,140
distance_ema_100,30,-0.0006166293818535483,above,0.0009975823715479533,0.6674584323024526,0.9535101192395309,281,281400,140
return_60,30,-0.0010209447361515522,above,0.0009977311380881164,0.6674584323024526,0.953510119223981,281,281358,140
return_1,10,-0.00041850644989970264,above,0.0009940357852882677,0.855106888359014,0.9501178567044498,360,361800,61
