trade_ticket,trade_time,trade_direction,control_time,clock_event,state_similarity,state_difference,market_difference,event_difference,candidate_hidden_condition
91448019,2026-04-14 15:20:42,Sell,2026-04-14 13:50:00,M30 phase 20,0.29320434455379224,m1_atr_ratio Δz=0.67; m1_range Δz=0.57; m1_return_5 Δz=0.25; m15_price_ema20 Δz=0.24,m1_return_5 Δ=-0.000273431; m1_ema20_dist Δ=-0.192,same measured event flags,no isolated measured clock/event condition
91488864,2026-04-14 20:38:32,Buy,2026-04-14 19:38:00,M30 phase 8,0.16103065022740168,m1_ema20_dist Δz=0.40; m1_return_5 Δz=0.28; m1_range Δz=0.19; cooldown_log_seconds Δz=0.16,m1_return_5 Δ=-0.000310429; m1_ema20_dist Δ=0.537,same measured event flags,no isolated measured clock/event condition
91515698,2026-04-15 09:13:14,Sell,2026-04-15 08:13:00,M30 phase 13,0.14366211550005706,m1_ema20_dist Δz=0.32; h1_price_ema20 Δz=0.21; m1_return_5 Δz=0.20; m15_price_ema20 Δz=0.20,m1_return_5 Δ=0.000223725; m1_ema20_dist Δ=-0.432,"event_any, event_count","event_any, event_count"
91531357,2026-04-15 16:00:14,Sell,2026-04-15 15:30:00,M30 phase 0,0.12569912283062715,m1_ema20_dist Δz=0.35; m1_atr_ratio Δz=0.15; m15_price_ema20 Δz=0.13; m1_return_5 Δz=0.11,m1_return_5 Δ=-0.000120532; m1_ema20_dist Δ=-0.478,"event_any, event_count, clock_h1_post120","event_any, event_count, clock_h1_post120"
91585973,2026-04-16 09:43:59,Buy,2026-04-16 09:13:00,M30 phase 13,0.6050699708944469,m1_ema20_dist Δz=1.61; m1_return_5 Δz=0.98; m1_range Δz=0.74; m15_price_ema20 Δz=0.44,m1_return_5 Δ=0.0010827; m1_ema20_dist Δ=2.18,"event_any, event_count","event_any, event_count"
91596159,2026-04-16 15:36:23,Sell,2026-04-16 14:36:00,M30 phase 6,0.4565388428435077,m1_return_5 Δz=1.21; m1_ema20_dist Δz=0.84; m1_atr_ratio Δz=0.44; h1_price_ema20 Δz=0.21,m1_return_5 Δ=0.00133356; m1_ema20_dist Δ=1.14,"event_any, event_count","event_any, event_count"
91645065,2026-04-17 08:14:54,Sell,2026-04-17 07:44:00,M30 phase 14,0.22308601258865682,m15_price_ema20 Δz=0.56; h1_price_ema20 Δz=0.43; m1_ema20_dist Δz=0.25; m1_atr_ratio Δz=0.17,m1_return_5 Δ=-1.43506e-05; m1_ema20_dist Δ=-0.339,"event_any, event_count","event_any, event_count"
91655142,2026-04-17 13:51:42,Buy,2026-04-17 13:21:00,M30 phase 21,0.2896986547638246,m15_price_ema20 Δz=0.60; m1_ema20_dist Δz=0.60; m1_range Δz=0.52; m1_atr_ratio Δz=0.11,m1_return_5 Δ=2.0955e-05; m1_ema20_dist Δ=-0.813,"event_any, event_count","event_any, event_count"
91740834,2026-04-20 08:41:45,Sell,2026-04-20 08:11:00,M30 phase 11,0.151388310848844,m1_range Δz=0.34; m1_return_5 Δz=0.26; m1_ema20_dist Δz=0.26; m1_atr_ratio Δz=0.16,m1_return_5 Δ=-0.000290051; m1_ema20_dist Δ=0.352,same measured event flags,no isolated measured clock/event condition
91776198,2026-04-20 18:25:31,Sell,2026-04-20 20:55:00,M30 phase 25,0.9050577177272286,trades_session_before Δz=1.99; m1_atr_ratio Δz=1.16; m1_return_5 Δz=1.03; cooldown_log_seconds Δz=1.03,m1_return_5 Δ=0.00113399; m1_ema20_dist Δ=0.582,event_count,event_count
91797166,2026-04-21 07:24:24,Buy,2026-04-21 10:24:00,M30 phase 24,0.8149830414641586,trades_session_before Δz=1.99; cooldown_log_seconds Δz=1.11; trades_today_before Δz=1.03; m15_price_ema20 Δz=0.74,m1_return_5 Δ=5.49096e-05; m1_ema20_dist Δ=-0.746,same measured event flags,no isolated measured clock/event condition
91806444,2026-04-21 10:42:50,Buy,2026-04-21 09:42:00,M30 phase 12,0.3191172397165031,m15_price_ema20 Δz=0.93; m1_atr_ratio Δz=0.34; m1_return_5 Δz=0.29; cooldown_log_seconds Δz=0.28,m1_return_5 Δ=-0.000321879; m1_ema20_dist Δ=0.288,"event_any, event_count","event_any, event_count"
91824729,2026-04-21 17:01:47,Buy,2026-04-21 13:01:00,M30 phase 1,0.7359789796277513,m1_range Δz=1.38; m1_return_5 Δz=1.36; m1_atr_ratio Δz=1.07; m1_ema20_dist Δz=0.94,m1_return_5 Δ=-0.00150076; m1_ema20_dist Δ=-1.28,event_count,event_count
91863976,2026-04-22 08:22:08,Sell,2026-04-22 12:22:00,M30 phase 22,1.2356563155345917,m1_ema20_dist Δz=2.73; trades_session_before Δz=1.99; m1_return_5 Δz=1.88; cooldown_log_seconds Δz=1.06,m1_return_5 Δ=0.00206663; m1_ema20_dist Δ=3.7,"event_any, event_count","event_any, event_count"
91873683,2026-04-22 15:29:56,Sell,2026-04-22 13:59:00,M30 phase 29,0.5571571339541003,m1_range Δz=1.49; m1_return_5 Δz=0.90; m1_ema20_dist Δz=0.52; m1_atr_ratio Δz=0.51,m1_return_5 Δ=0.000992539; m1_ema20_dist Δ=0.7,event_count,event_count
91919177,2026-04-23 08:30:37,Buy,2026-04-23 07:00:00,M30 phase 0,0.15771274504837784,m15_price_ema20 Δz=0.41; m1_atr_ratio Δz=0.21; m1_return_5 Δz=0.18; m1_ema20_dist Δz=0.17,m1_return_5 Δ=0.000199802; m1_ema20_dist Δ=-0.232,clock_h1_post120,clock_h1_post120
91954421,2026-04-23 20:58:13,Buy,2026-04-23 20:28:00,M30 phase 28,1.050721025249998,m1_return_5 Δz=2.57; m15_price_ema20 Δz=1.73; m1_atr_ratio Δz=1.61; m1_ema20_dist Δz=0.86,m1_return_5 Δ=0.00283517; m1_ema20_dist Δ=1.16,same measured event flags,no isolated measured clock/event condition
91973017,2026-04-24 11:25:06,Sell,2026-04-24 10:25:00,M30 phase 25,0.28106027739753364,h1_price_ema20 Δz=0.82; m15_price_ema20 Δz=0.34; m1_return_5 Δz=0.26; m1_ema20_dist Δz=0.25,m1_return_5 Δ=-0.000285718; m1_ema20_dist Δ=-0.345,same measured event flags,no isolated measured clock/event condition
91984519,2026-04-24 16:32:20,Buy,2026-04-24 13:32:00,M30 phase 2,0.39445810067227527,cooldown_log_seconds Δz=0.68; h1_price_ema20 Δz=0.66; m1_atr_ratio Δz=0.53; m1_return_5 Δz=0.51,m1_return_5 Δ=0.000561479; m1_ema20_dist Δ=0.586,event_count,event_count
92024986,2026-04-27 06:37:58,Buy,2026-04-27 05:37:00,M30 phase 7,0.26608546948139145,m1_ema20_dist Δz=0.60; h1_price_ema20 Δz=0.52; m15_price_ema20 Δz=0.32; m1_return_5 Δz=0.24,m1_return_5 Δ=0.000264173; m1_ema20_dist Δ=0.81,same measured event flags,no isolated measured clock/event condition
92029007,2026-04-27 11:51:00,Sell,2026-04-27 12:21:00,M30 phase 21,2.2923646196191307,active_positions_before_candidate Δz=7.45; cooldown_log_seconds Δz=2.54; m15_price_ema20 Δz=0.63; m1_ema20_dist Δz=0.53,m1_return_5 Δ=-0.000505314; m1_ema20_dist Δ=0.714,same measured event flags,no isolated measured clock/event condition
92067522,2026-04-28 09:04:14,Buy,2026-04-28 08:34:00,M30 phase 4,0.725272139086332,h1_price_ema20 Δz=1.34; m1_return_5 Δz=1.32; m15_price_ema20 Δz=1.22; m1_ema20_dist Δz=1.12,m1_return_5 Δ=0.00145819; m1_ema20_dist Δ=1.51,same measured event flags,no isolated measured clock/event condition
92099847,2026-04-28 19:35:59,Buy,2026-04-28 19:05:00,M30 phase 5,0.33187378604527434,m1_ema20_dist Δz=1.01; m1_range Δz=0.38; m1_atr_ratio Δz=0.31; m15_price_ema20 Δz=0.20,m1_return_5 Δ=0.000167589; m1_ema20_dist Δ=-1.37,"event_any, event_count","event_any, event_count"
92117158,2026-04-29 09:00:38,Buy,2026-04-29 12:30:00,M30 phase 0,0.7790814288565292,trades_session_before Δz=1.99; trades_today_before Δz=1.03; cooldown_log_seconds Δz=1.01; m1_range Δz=0.73,m1_return_5 Δ=-4.46609e-05; m1_ema20_dist Δ=-0.0838,"event_count, clock_h1_post120","event_count, clock_h1_post120"
92125361,2026-04-29 13:38:23,Sell,2026-04-29 13:08:00,M30 phase 8,0.7332607703445143,m1_return_5 Δz=1.51; m15_price_ema20 Δz=1.44; m1_ema20_dist Δz=1.17; m1_range Δz=0.81,m1_return_5 Δ=-0.0016586; m1_ema20_dist Δ=-1.59,"event_any, event_count","event_any, event_count"
92181621,2026-04-30 13:58:53,Buy,2026-04-30 16:28:00,M30 phase 28,0.9850498369336496,trades_session_before Δz=1.99; cooldown_log_seconds Δz=1.72; m1_range Δz=1.14; seconds_since_last_entry Δz=1.12,m1_return_5 Δ=-0.000334254; m1_ema20_dist Δ=-0.484,"event_any, event_count","event_any, event_count"
92218142,2026-05-01 09:16:51,Sell,2026-05-01 08:46:00,M30 phase 16,0.2633128360069416,m15_price_ema20 Δz=0.58; m1_range Δz=0.52; m1_ema20_dist Δz=0.39; m1_return_5 Δz=0.22,m1_return_5 Δ=0.000240017; m1_ema20_dist Δ=0.526,same measured event flags,no isolated measured clock/event condition
92274667,2026-05-04 08:18:10,Buy,2026-05-04 07:48:00,M30 phase 18,0.35922140327372576,m1_range Δz=0.90; m1_return_5 Δz=0.55; m15_price_ema20 Δz=0.39; m1_ema20_dist Δz=0.37,m1_return_5 Δ=-0.000601582; m1_ema20_dist Δ=-0.504,"event_any, event_count","event_any, event_count"
92286476,2026-05-04 13:52:28,Sell,2026-05-04 16:52:00,M30 phase 22,0.8261086069995214,trades_session_before Δz=1.99; m1_ema20_dist Δz=1.12; trades_today_before Δz=1.03; m15_price_ema20 Δz=1.02,m1_return_5 Δ=0.000164348; m1_ema20_dist Δ=1.51,same measured event flags,no isolated measured clock/event condition
