model,fold,rule_type,rule_or_feature,coefficient,threshold,oos_f1,oos_precision
E2 events + eligibility state,2,L1 logistic feature,event_higher_low_break,0.8623885101624258,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_lower_high_break,0.07305575197190438,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_false_break_high,-0.004944295671064773,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_false_break_low,-0.07223661367186561,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_impulse_pullback_cont_up,-0.2620756670278869,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_impulse_pullback_cont_down,-0.017720214194795726,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_immediate_reversal,-0.30707229194055563,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_range_expansion_strength,0.2241894946659048,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_body_ratio,-0.18621174208815144,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,cooldown_log_seconds,-0.25034810861039736,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,seconds_since_last_entry,0.6161630650597189,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,prior_win_code,-0.24853006581099502,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,prior_direction_code,-0.09835571952065388,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,prior_large_code,-0.11888691702771176,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,boundary_5,-0.010231227746132655,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,boundary_15,-0.011462906381698007,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,boundary_30,0.14731782036939287,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,boundary_60,-0.01628667622976724,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,hour_sin,-0.08192416508979589,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,hour_cos,-1.3417232482748815,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,dow_sin,0.07603805889449343,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,dow_cos,-0.32286025765288084,0.9684894394266095,0.0,0.0
E2 events + eligibility state,3,L1 logistic feature,event_cross_prior_high_10,-0.19515766516717756,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_prior_low_10,0.0033950455345014502,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_prior_high_20,-0.02904950399371739,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_prior_low_20,-0.09251098525769615,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_session_high,-0.06638116440900979,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_session_low,-0.042941360183643015,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_vwap,0.07321960746814597,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_cross_ema20,-0.004685565042676967,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_large_body_expansion,0.002023889167156351,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_compression_to_expansion,0.02219483808890209,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_higher_low_break,0.3594986843548877,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_lower_high_break,0.1931891073205714,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_false_break_high,-0.037216350404117485,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_false_break_low,-0.02482302005669672,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_impulse_pullback_cont_up,0.0415494555121792,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_impulse_pullback_cont_down,-0.0504661551145972,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_immediate_reversal,-0.2956416733300435,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_range_expansion_strength,0.01615839511294938,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_body_ratio,-0.10412182281736,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,event_bar_direction,0.003249269902368077,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,cooldown_log_seconds,-0.03866180400206379,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,seconds_since_last_entry,0.34718198946347556,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,prior_win_code,-0.2664368929956244,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,prior_direction_code,-0.01437282624900542,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,prior_large_code,-0.1261205745627189,0.9045308185069504,0.012195121951219513,0.01
