trade_idx,ticket,side,volume,recorded_pnl,reconstructed_gross_pnl,reconstructed_net_pnl_spread,residual_vs_recorded,cumulative_recorded_pnl,cumulative_reconstructed_pnl
275,85833216,Buy,0.01,-1.73,1.59,1.24,-2.97,879.97,581.51
276,85827276,Buy,0.01,1.06,-0.82,-1.17,2.23,881.03,580.34
277,85787460,Buy,0.01,2.87,3.15,2.8,0.07,883.9,583.14
278,85704475,Sell,0.01,2.27,0.0,-0.35,2.62,886.17,582.79
279,85668988,Buy,0.01,-2.1,-2.31,-2.66,0.56,884.07,580.13
280,85668110,Sell,0.01,-1.2,0.57,0.22,-1.42,882.87,580.35
281,85640223,Sell,0.01,2.24,3.03,2.68,-0.44,885.11,583.03
282,85396743,Buy,0.01,3.86,3.29,2.94,0.92,888.97,585.97
283,85385479,Sell,0.01,0.21,-0.69,-1.04,1.25,889.18,584.93
284,85342738,Buy,0.01,-0.66,0.08,-0.27,-0.39,888.52,584.66
285,85182793,Sell,0.01,2.2,3.95,3.6,-1.4,890.72,588.26
286,85084978,Buy,0.01,1.34,1.16,0.81,0.53,892.06,589.07
287,85066329,Sell,0.01,1.41,-1.6,-1.95,3.36,893.47,587.12
288,84971230,Sell,0.01,3.1,4.49,4.14,-1.04,896.57,591.26
289,84960053,Buy,0.01,3.06,3.47,3.12,-0.06,899.63,594.38
290,84858142,Sell,0.01,1.77,0.9,0.55,1.22,901.4,594.93
291,84803733,Sell,0.01,5.63,3.84,3.49,2.14,907.03,598.42
292,84675020,Sell,0.01,2.67,1.35,1.0,1.67,909.7,599.42
293,84665776,Buy,0.01,0.7,-2.92,-3.27,3.97,910.4,596.15
294,84496990,Buy,0.01,0.7,0.15,-0.2,0.9,911.1,595.95
295,84480811,Sell,0.01,-2.98,-0.72,-1.07,-1.91,908.12,594.88
296,84448544,Buy,0.01,4.53,-0.04,-0.39,4.92,912.65,594.49
297,84397864,Buy,0.01,2.61,1.11,0.76,1.85,915.26,595.25
298,83980760,Buy,0.01,7.87,8.53,8.18,-0.31,923.13,603.43
299,83923769,Sell,0.01,2.07,0.54,0.19,1.88,925.2,603.62
300,83915642,Sell,0.01,1.17,-1.22,-1.57,2.74,926.37,602.05
301,83897665,Sell,0.01,7.43,-2.75,-3.1,10.53,933.8,598.95
302,83821484,Buy,0.01,-4.17,3.69,3.34,-7.51,929.63,602.29
303,83699779,Sell,0.01,7.05,5.85,5.5,1.55,936.68,607.79
304,83541051,Buy,0.01,9.98,4.97,4.62,5.36,946.66,612.41
305,83511633,Buy,0.01,2.43,6.63,6.28,-3.85,949.09,618.69
306,83314376,Buy,0.01,4.47,-0.69,-1.04,5.51,953.56,617.65
307,83084849,Buy,0.01,4.38,2.05,1.7,2.68,957.94,619.35
308,82913535,Buy,0.01,4.8,2.84,2.49,2.31,962.74,621.84
309,82824133,Buy,0.01,3.4,2.64,2.29,1.11,966.14,624.13
310,82775023,Buy,0.01,5.73,4.66,4.31,1.42,971.87,628.44
311,82667342,Buy,0.01,6.68,7.78,7.43,-0.75,978.55,635.87
312,82600157,Sell,0.01,4.52,6.05,5.7,-1.18,983.07,641.57
313,82596177,Buy,0.01,6.46,6.5,6.15,0.31,989.53,647.72
314,82564751,Sell,0.01,4.51,4.18,3.83,0.68,994.04,651.55
315,82523311,Buy,0.01,3.35,2.94,2.59,0.76,997.39,654.14
316,82494965,Sell,0.01,1.89,1.81,1.46,0.43,999.28,655.6
317,82465593,Sell,0.01,1.82,3.03,2.68,-0.86,1001.1,658.28
318,82462486,Buy,0.01,-2.24,-1.2,-1.55,-0.69,998.86,656.73
319,82241706,Buy,0.01,4.38,5.06,4.71,-0.33,1003.24,661.44
320,82199073,Sell,0.01,3.82,3.25,2.9,0.92,1007.06,664.34
321,82169230,Buy,0.01,4.61,3.05,2.7,1.91,1011.67,667.04
322,82147110,Sell,0.01,2.51,2.03,1.68,0.83,1014.18,668.72
323,82095097,Buy,0.01,5.09,3.95,3.6,1.49,1019.27,672.32
324,82061725,Buy,0.01,3.7,2.67,2.32,1.38,1022.97,674.64
325,82028698,Buy,0.01,4.05,2.48,2.13,1.92,1027.02,676.77
326,81983513,Buy,0.01,5.33,4.14,3.79,1.54,1032.35,680.56
327,81979298,Sell,0.01,-4.41,-3.16,-3.51,-0.9,1027.94,677.05
328,81950224,Buy,0.01,4.94,2.91,2.56,2.38,1032.88,679.61
329,38800885,Buy,0.01,5.21,1.68,1.33,3.88,1038.09,680.94
330,38786971,Buy,0.02,8.66,7.66,6.96,1.7,1046.75,687.9
331,38759834,Sell,0.01,6.72,6.85,6.5,0.22,1053.47,694.4
332,38755615,Buy,0.01,-3.47,-1.79,-2.14,-1.33,1050.0,692.26
333,38723027,Sell,0.01,4.65,5.01,4.66,-0.01,1054.65,696.92
334,38720385,Buy,0.01,-3.16,-1.89,-2.24,-0.92,1051.49,694.68
335,38686016,Sell,0.01,5.46,5.7,5.35,0.11,1056.95,700.03
336,38683859,Buy,0.01,3.31,2.14,1.79,1.52,1060.26,701.82
337,38650723,Sell,0.01,5.6,7.15,6.8,-1.2,1065.86,708.62
338,38648802,Buy,0.01,-3.99,-2.24,-2.59,-1.4,1061.87,706.03
339,38612361,Sell,0.01,9.02,9.1,8.75,0.27,1070.89,714.78
340,38570537,Sell,0.01,5.46,6.7,6.35,-0.89,1076.35,721.13
341,38568721,Sell,0.01,4.8,0.05,-0.3,5.1,1081.15,720.83
342,38528027,Sell,0.01,6.41,5.44,5.09,1.32,1087.56,725.92
343,38492680,Buy,0.01,-4.86,-4.91,-5.26,0.4,1082.7,720.66
344,38487563,Buy,0.01,5.6,5.08,4.73,0.87,1088.3,725.39
345,38449900,Sell,0.01,2.91,5.53,5.18,-2.27,1091.21,730.57
346,38448404,Buy,0.01,-4.86,-6.99,-7.34,2.48,1086.35,723.23
347,38443239,Sell,0.01,3.25,2.91,2.56,0.69,1089.6,725.79
348,38441014,Buy,0.01,7.08,6.63,6.28,0.8,1096.68,732.07
349,38422656,Buy,0.01,6.64,7.25,6.9,-0.26,1103.32,738.97
350,38394143,Buy,0.01,4.76,3.13,2.78,1.98,1108.08,741.75
351,38381092,Sell,0.01,16.3,13.28,12.93,3.37,1124.38,754.68
352,38327555,Buy,0.02,12.08,13.24,12.54,-0.46,1136.46,767.22
353,38293895,Sell,0.02,9.8,7.28,6.58,3.22,1146.26,773.8
354,38258178,Buy,0.01,5.08,4.26,3.91,1.17,1151.34,777.71
355,38220734,Sell,0.01,6.06,6.75,6.4,-0.34,1157.4,784.11
356,38185142,Sell,0.02,12.08,8.22,7.52,4.56,1169.48,791.63
357,38122859,Sell,0.01,7.41,5.3,4.95,2.46,1176.89,796.58
358,38119105,Sell,0.01,-4.83,-3.36,-3.71,-1.12,1172.06,792.87
359,38045554,Buy,0.01,11.02,10.53,10.18,0.84,1183.08,803.05
360,37964561,Buy,0.01,6.3,5.55,5.2,1.1,1189.38,808.25
361,37928869,Sell,0.01,7.85,5.96,5.61,2.24,1197.23,813.86
362,37874673,Sell,0.02,14.9,15.36,14.66,0.24,1212.13,828.52
363,37836776,Sell,0.01,-5.43,-3.16,-3.51,-1.92,1206.7,825.01
364,37791981,Sell,0.01,8.85,9.16,8.81,0.04,1215.55,833.82
365,37748984,Buy,0.01,7.16,7.79,7.44,-0.28,1222.71,841.26
366,37701576,Sell,0.01,11.72,8.59,8.24,3.48,1234.43,849.5
367,37610153,Buy,0.01,9.18,8.39,8.04,1.14,1243.61,857.54
368,37543683,Buy,0.02,11.96,10.36,9.66,2.3,1255.57,867.2
369,37542995,Buy,0.01,-5.33,-3.22,-3.57,-1.76,1250.24,863.63
370,37542639,Sell,0.01,0.64,0.48,0.13,0.51,1250.88,863.76
371,37507379,Sell,0.01,7.19,8.85,8.5,-1.31,1258.07,872.26
372,37477144,Buy,0.01,7.23,5.94,5.59,1.64,1265.3,877.85
373,37442389,Buy,0.01,5.37,4.19,3.84,1.53,1270.67,881.69
374,37400976,Sell,0.01,3.88,2.7,2.35,1.53,1274.55,884.04
375,37386001,Buy,0.01,9.65,5.6,5.25,4.4,1284.2,889.29
376,37296835,Buy,0.01,4.42,-3.92,-4.27,8.69,1288.62,885.02
377,37217619,Sell,0.01,5.94,-1.27,-1.62,7.56,1294.56,883.4
