ticket,trade_time,control_time,state_similarity,trade_cooldown_log_seconds,trade_seconds_since_last_entry,trade_trades_today_before,trade_trades_prev_hour,trade_trades_session_before,trade_active_positions_before_candidate,trade_m1_atr_ratio,trade_m1_range,trade_m1_return_5,trade_m1_ema20_dist,trade_m15_price_ema20,trade_h1_price_ema20,control_cooldown_log_seconds,control_seconds_since_last_entry,control_trades_today_before,control_trades_prev_hour,control_trades_session_before,control_active_positions_before_candidate,control_m1_atr_ratio,control_m1_range,control_m1_return_5,control_m1_ema20_dist,control_m15_price_ema20,control_h1_price_ema20
37791981,2025-11-18 08:48:04,2025-11-18 08:18:00,0.40419126995431454,11.3281729558044,84633.0,0.0,0.0,0.0,0,0.00050676143,1.96,-0.00090969534,-0.25970384,0.17247929,-1.7396183,11.306282526671115,82833.0,0.0,0.0,0.0,0,0.00050296122,1.47,9.9719167e-05,0.30839735,-1.0881237,-1.7396183
37836776,2025-11-19 12:12:16,2025-11-19 10:42:00,0.26672004751380923,11.484690585955445,98636.0,0.0,0.0,0.0,0,0.00044963739,2.1500001,0.00091292348,2.2882187,-0.14279217,0.73883319,11.427541853360504,93236.0,0.0,0.0,0.0,0,0.00034515414,1.507,0.00055545307,2.3101132,0.72295356,1.3248963
37874673,2025-11-20 08:09:10,2025-11-20 07:39:00,0.2914932483019062,11.177522656307035,71804.0,0.0,0.0,0.0,0,0.0004398333,1.683,-0.000171929,-1.8011158,-0.26234752,-0.40348643,11.152027330187188,70004.0,0.0,0.0,0.0,0,0.0003637097,0.94999999,-0.00048311963,-0.61523122,-0.037086405,-0.58358973
37928869,2025-11-21 13:14:11,2025-11-21 16:14:00,1.1993721405246696,11.540997725963418,104690.0,0.0,0.0,0.0,0,0.00078701467,5.6830001,-0.0015051662,-1.9994317,0.30156323,-0.3914164,9.061956366209925,10789.0,1.0,0.0,1.0,0,0.00076991256,1.79,-0.00037160679,-0.27481055,1.8953161,0.47817865
37964561,2025-11-24 13:01:04,2025-11-24 17:01:00,1.3865665530385294,12.453873686866745,258409.0,0.0,0.0,0.0,0,0.00045631654,1.86,0.00026032361,1.4136277,1.4437886,0.63192546,9.369222697036374,14396.0,1.0,0.0,1.0,0,0.00046567299,1.6,0.0005028423,0.51093423,0.82125515,0.77326947
38045554,2025-11-26 09:36:48,2025-11-26 08:36:00,0.393377886095599,11.96922309465979,160496.0,0.0,0.0,0.0,0,0.00042204012,2.6800001,-0.00096007506,-2.4012504,0.01144736,1.3522854,11.94614840178944,156896.0,0.0,0.0,0.0,0,0.00044076098,2.29,-0.00091224117,-1.5386469,1.59032,1.4223987
38119105,2025-11-27 08:09:07,2025-11-27 07:09:00,0.5201057028213517,11.257439490734765,81132.0,0.0,0.0,0.0,0,0.00024215231,0.81999999,2.649112e-05,0.68415999,-0.44452247,-0.42287096,11.209845450338351,77532.0,0.0,0.0,0.0,0,0.0003321947,2.01,-0.0001792496,-1.3917828,-1.3929477,-0.76225394
38122859,2025-11-27 11:02:26,2025-11-27 10:02:00,0.361373602222067,9.162095059348188,10373.0,1.0,0.0,1.0,0,0.00031233087,2.7,0.00051376392,1.6672117,0.9920848,0.38061452,8.687610843707368,6773.0,1.0,0.0,1.0,0,0.00032471074,0.74000001,-8.4176398e-05,0.73765814,0.84557903,0.19300209
38185142,2025-12-01 12:14:10,2025-12-01 10:44:00,0.2063171299510847,12.761112264472137,349894.0,0.0,0.0,0.0,0,0.00034888589,1.26,0.0001812445,1.5736172,0.68318385,1.4077393,12.745491557034867,344494.0,0.0,0.0,0.0,0,0.00031706248,1.08,-9.4296585e-05,0.70489508,0.77120769,1.2389385
38220734,2025-12-02 11:32:10,2025-12-02 08:02:00,0.10769257996423404,11.310393037560129,83870.0,0.0,0.0,0.0,0,0.00033885564,0.94,-0.00018976255,0.36693639,-0.31457344,-0.82152033,11.142817848143117,71270.0,0.0,0.0,0.0,0,0.00024350073,1.1,-0.00012326817,0.23832847,-0.38522777,-0.65776277
