trade_idx,ticket,side,volume,recorded_pnl,reconstructed_pnl_spread,reconstructed_pnl_zero_spread,residual_spread,residual_zero_spread,abs_residual,cum_recorded_pnl,cum_reconstructed_pnl_spread,cum_reconstructed_pnl_zero_spread
264,86558318,Buy,0.01,3.34,6.38,6.73,-3.04,-3.39,3.04,873.92,772.55,866.71
265,86192606,Sell,0.01,2.82,6.08,6.43,-3.26,-3.61,3.26,876.74,778.63,873.14
266,86161488,Sell,0.01,1.62,3.13,3.48,-1.51,-1.86,1.51,878.36,781.76,876.62
267,86155613,Buy,0.01,0.3,2.84,3.19,-2.54,-2.89,2.54,878.66,784.6,879.81
268,86014472,Buy,0.01,0.58,0.19,0.54,0.39,0.04,0.39,879.24,784.79,880.35
269,86011644,Sell,0.01,1.46,-1.74,-1.39,3.2,2.85,3.2,880.7,783.05,878.96
270,86000608,Sell,0.01,-3.08,-11.29,-10.94,8.21,7.86,8.21,877.62,771.76,868.02
271,85948772,Buy,0.01,0.91,1.27,1.62,-0.36,-0.71,0.36,878.53,773.03,869.64
272,85942844,Sell,0.01,-0.9,1.95,2.3,-2.85,-3.2,2.85,877.63,774.98,871.94
273,85935017,Sell,0.01,1.84,0.79,1.14,1.05,0.7,1.05,879.47,775.77,873.08
274,85865765,Sell,0.01,2.23,6.37,6.72,-4.14,-4.49,4.14,881.7,782.14,879.8
275,85833216,Buy,0.01,-1.73,-2.6,-2.25,0.87,0.52,0.87,879.97,779.54,877.55
276,85827276,Buy,0.01,1.06,1.05,1.4,0.01,-0.34,0.01,881.03,780.59,878.95
277,85787460,Buy,0.01,2.87,2.41,2.76,0.46,0.11,0.46,883.9,783.0,881.71
278,85704475,Sell,0.01,2.27,2.56,2.91,-0.29,-0.64,0.29,886.17,785.56,884.62
279,85668988,Buy,0.01,-2.1,-2.1,-1.75,-0.0,-0.35,0.0,884.07,783.46,882.87
280,85668110,Sell,0.01,-1.2,0.77,1.12,-1.97,-2.32,1.97,882.87,784.23,883.99
281,85640223,Sell,0.01,2.24,1.82,2.17,0.42,0.07,0.42,885.11,786.05,886.16
282,85396743,Buy,0.01,3.86,3.92,4.27,-0.06,-0.41,0.06,888.97,789.97,890.43
283,85385479,Sell,0.01,0.21,-0.28,0.07,0.49,0.14,0.49,889.18,789.69,890.5
284,85342738,Buy,0.01,-0.66,-2.07,-1.72,1.41,1.06,1.41,888.52,787.62,888.78
285,85182793,Sell,0.01,2.2,1.1,1.45,1.1,0.75,1.1,890.72,788.72,890.23
286,85084978,Buy,0.01,1.34,1.89,2.24,-0.55,-0.9,0.55,892.06,790.61,892.47
287,85066329,Sell,0.01,1.41,-1.86,-1.51,3.27,2.92,3.27,893.47,788.75,890.96
288,84971230,Sell,0.01,3.1,1.99,2.34,1.11,0.76,1.11,896.57,790.74,893.3
289,84960053,Buy,0.01,3.06,3.91,4.26,-0.85,-1.2,0.85,899.63,794.65,897.56
290,84858142,Sell,0.01,1.77,2.14,2.49,-0.37,-0.72,0.37,901.4,796.79,900.05
291,84803733,Sell,0.01,5.63,3.4,3.75,2.23,1.88,2.23,907.03,800.19,903.8
292,84675020,Sell,0.01,2.67,-1.65,-1.3,4.32,3.97,4.32,909.7,798.54,902.5
293,84665776,Buy,0.01,0.7,1.26,1.61,-0.56,-0.91,0.56,910.4,799.8,904.11
294,84496990,Buy,0.01,0.7,0.41,0.76,0.29,-0.06,0.29,911.1,800.21,904.87
295,84480811,Sell,0.01,-2.98,-0.75,-0.4,-2.23,-2.58,2.23,908.12,799.46,904.47
296,84448544,Buy,0.01,4.53,3.72,4.07,0.81,0.46,0.81,912.65,803.18,908.54
297,84397864,Buy,0.01,2.61,-1.86,-1.51,4.47,4.12,4.47,915.26,801.32,907.03
298,83980760,Buy,0.01,7.87,10.55,10.9,-2.68,-3.03,2.68,923.13,811.87,917.93
299,83923769,Sell,0.01,2.07,-0.04,0.31,2.11,1.76,2.11,925.2,811.83,918.24
300,83915642,Sell,0.01,1.17,1.3,1.65,-0.13,-0.48,0.13,926.37,813.13,919.89
301,83897665,Sell,0.01,7.43,7.37,7.72,0.06,-0.29,0.06,933.8,820.5,927.61
302,83821484,Buy,0.01,-4.17,-9.76,-9.41,5.59,5.24,5.59,929.63,810.74,918.2
303,83699779,Sell,0.01,7.05,2.88,3.23,4.17,3.82,4.17,936.68,813.62,921.43
304,83541051,Buy,0.01,9.98,13.49,13.84,-3.51,-3.86,3.51,946.66,827.11,935.27
305,83511633,Buy,0.01,2.43,4.42,4.77,-1.99,-2.34,1.99,949.09,831.53,940.04
306,83314376,Buy,0.01,4.47,-0.1,0.25,4.57,4.22,4.57,953.56,831.43,940.29
307,83084849,Buy,0.01,4.38,3.28,3.63,1.1,0.75,1.1,957.94,834.71,943.92
308,82913535,Buy,0.01,4.8,1.15,1.5,3.65,3.3,3.65,962.74,835.86,945.42
309,82824133,Buy,0.01,3.4,3.78,4.13,-0.38,-0.73,0.38,966.14,839.64,949.55
310,82775023,Buy,0.01,5.73,6.29,6.64,-0.56,-0.91,0.56,971.87,845.93,956.19
311,82667342,Buy,0.01,6.68,7.53,7.88,-0.85,-1.2,0.85,978.55,853.46,964.07
312,82600157,Sell,0.01,4.52,5.82,6.17,-1.3,-1.65,1.3,983.07,859.28,970.24
313,82596177,Buy,0.01,6.46,6.41,6.76,0.05,-0.3,0.05,989.53,865.69,977.0
314,82564751,Sell,0.01,4.51,3.4,3.75,1.11,0.76,1.11,994.04,869.09,980.75
315,82523311,Buy,0.01,3.35,3.99,4.34,-0.64,-0.99,0.64,997.39,873.08,985.09
316,82494965,Sell,0.01,1.89,2.14,2.49,-0.25,-0.6,0.25,999.28,875.22,987.58
